Barrier Name,N,Seed,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
delta(elliptical-square),8,3,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square),8,4,18.249000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square),8,5,21.285,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,1,22.638,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,2,23.463,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,3,18.48,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,4,20.394000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square),11,5,20.196,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,1,38.049,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,2,32.142,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,3,24.024,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,4,34.419000000000004,0,0.0,0.0,0.0,0.0
delta(elliptical-square),16,5,32.967,0,0.0,0.0,0.0,0.0
delta(elliptical-square),20,1,0.0,208,0.0,0.0,0.0,0.0
delta(elliptical-square),20,2,0.0,523,0.0,0.0,0.0,0.0
delta(elliptical-square),20,3,0.0,201,0.0,0.0,0.0,0.0
delta(elliptical-square),20,4,0.0,237,0.0,0.0,0.0,0.0
delta(elliptical-square),20,5,0.0,323,0.0,0.0,0.0,0.0
delta(elliptical-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(elliptical-triangle),4,2,19.206,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),4,3,34.782000000000004,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),4,4,19.371000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),4,5,33.693000000000005,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),8,1,20.559,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),8,2,22.11,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),8,3,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),8,4,18.249000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),8,5,21.285,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,1,22.638,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,2,23.463,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,3,18.48,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,4,20.394000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),11,5,20.196,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,1,38.049,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,2,32.142,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,3,24.024,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,4,34.419000000000004,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),16,5,32.967,0,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,1,0.0,208,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,2,0.0,523,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,3,0.0,201,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,4,0.0,237,0.0,0.0,0.0,0.0
delta(elliptical-triangle),20,5,0.0,323,0.0,0.0,0.0,0.0
delta(square-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(square-triangle),4,2,21.285,0,0.0,0.0,0.0,0.0
delta(square-triangle),4,3,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),4,4,20.394000000000002,0,0.0,0.0,0.0,0.0
delta(square-triangle),4,5,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),8,1,25.509,0,0.0,0.0,0.0,0.0
delta(square-triangle),8,2,27.753,0,0.0,0.0,0.0,0.0
delta(square-triangle),8,3,42.075,0,0.0,0.0,0.0,0.0
delta(square-triangle),8,4,20.955000000000002,0,0.0,0.0,0.0,0.0
delta(square-triangle),8,5,36.531,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,1,57.651,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,2,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,3,38.445,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,4,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),11,5,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,1,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,2,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,3,130.383,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,4,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),16,5,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,1,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,2,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,3,0.0,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,4,223.476,0,0.0,0.0,0.0,0.0
delta(square-triangle),20,5,0.0,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-elliptical-square),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),4,4,19.668,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),4,5,39.633,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),8,1,20.922,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),8,2,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),8,3,22.671,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),8,4,18.282,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),8,5,21.384,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,1,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,2,25.839000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,3,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,4,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),11,5,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,1,24.849,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,2,30.954,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,3,24.75,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,4,25.806,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),16,5,30.228,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,1,25.113,45,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,2,72.072,12,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,3,44.649,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,4,40.128,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square),20,5,46.728,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-elliptical-triangle),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),4,4,19.668,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),4,5,39.633,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),8,1,20.922,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),8,2,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),8,3,22.671,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),8,4,18.282,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),8,5,21.384,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,1,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,2,25.839000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,3,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,4,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),11,5,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,1,24.849,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,2,30.954,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,3,24.75,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,4,25.806,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),16,5,30.228,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,1,25.113,45,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,2,72.072,12,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,3,44.649,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,4,40.128,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-triangle),20,5,46.728,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-square-triangle),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),4,4,19.668,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),4,5,39.633,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),8,1,20.922,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),8,2,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),8,3,22.671,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),8,4,18.282,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),8,5,21.384,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,1,20.295,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,2,25.839000000000002,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,3,16.896,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,4,16.896,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),11,5,20.295,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,1,24.849,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,2,30.954,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,3,24.75,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,4,25.806,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),16,5,30.228,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,1,25.113,45,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,2,72.072,12,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,3,44.649,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,4,40.128,0,0.0,0.0,0.0,0.0
delta(circular-square-triangle),20,5,46.728,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(elliptical-square-triangle),4,2,19.206,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),4,3,34.782000000000004,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),4,4,19.371000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),4,5,33.693000000000005,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),8,1,20.559,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),8,2,22.11,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),8,3,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),8,4,18.249000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),8,5,21.285,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,1,22.638,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,2,23.463,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,3,18.48,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,4,20.394000000000002,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),11,5,20.196,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),16,1,38.049,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),16,2,32.142,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),16,3,24.024,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),16,4,34.419000000000004,0,0.0,0.0,0.0,0.0
